name,category,subCategory,availableQuantity,orderedQuantity,cost,image
Cotton Waist Coat Style Tshirt,clothing,shirt,102,0,397,https://comps.canstockphoto.com/side-view-of-handsome-casual-man-wearing-stock-images_csp57206259.jpg
Slim Fit Jeans,clothing,zeans,136,0,602,https://previews.123rf.com/images/prometeus/prometeus1603/prometeus160300101/53116588-full-length-portrait-of-a-handsome-man-wearing-jeans-clothes-and-a-coat-men-s-beauty-seasonal-fashio.jpg
Cotton Casual Shirt Full Sleeves,clothing,shirt,109,0,373,https://image.shutterstock.com/z/stock-photo-sexy-smiling-man-wear-white-shirt-and-jeans-770611231.jpg
Slim Fit Stretchable Jeans,clothing,zeans,160,0,735,https://img.mensxp.com/media/content/2018/Mar/mistakes-men-make-while-wearing-jeans1-1519901552.jpg?h=663&w=368&cc=1
Regular Fit T-Shirt,clothing,t-shirt,158,0,611,https://static.independent.co.uk/s3fs-public/thumbnails/image/2019/08/12/11/best-mens-tshirt-indybest.jpg
Denim Regular Fit Jeans,clothing,zeans,167,0,595,https://www.realmenrealstyle.com/wp-content/uploads/Denim-Jeans-1.jpg
Cotton Roundneck T-Shirt,clothing,t-shirt,178,0,480,https://sc02.alicdn.com/kf/HTB1Y7sedAOWBuNjSsppq6xPgpXay.jpg
Cotton T Shirt,clothing,t-shirt,187,0,405,https://reddapparel.in/wp-content/uploads/2018/11/FRONT-ANONYMOUS.png
Solid Regular Fit T-Shirt,clothing,t-shirt,133,0,504,https://cdn.shopify.com/s/files/1/2959/1448/products/imnotlazy-mens-hg_2596x.jpg?v=1584085190
Plain Solid Cotton Causal Shirt,clothing,shirt,104,0,631,https://previews.123rf.com/images/victorias/victorias1707/victorias170700012/81561785-cheerful-man-in-checked-shirt-and-smart-casual-wear-looking-at-camera-handsome-guy-in-street-clothes.jpg
Cotton Casual Shirt for Men Full Sleeves,clothing,shirt,197,0,652,https://comps.canstockphoto.com/side-view-of-handsome-casual-man-wearing-stock-images_csp57206259.jpg
Casual Shirt,clothing,shirt,127,0,305,https://image.shutterstock.com/z/stock-photo-sexy-smiling-man-wear-white-shirt-and-jeans-770611231.jpg
Basic Cotton Round Neck Half Sleeve Solid T-Shirt,clothing,t-shirt,178,0,545,https://cdn.shopify.com/s/files/1/2959/1448/products/imnotlazy-mens-hg_2596x.jpg?v=1584085190
Slim Fit Jeans,clothing,zeans,149,0,434,https://img.mensxp.com/media/content/2018/Mar/mistakes-men-make-while-wearing-jeans1-1519901552.jpg?h=663&w=368&cc=1
Cotton Long Sleeve Top (Vnk),clothing,t-shirt,175,0,601,https://static.independent.co.uk/s3fs-public/thumbnails/image/2019/08/12/11/best-mens-tshirt-indybest.jpg
